what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899739343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899745520
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899750496
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899752550
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899755015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899757741
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899762736
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899768478
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899769443
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899776691
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899777863
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899781548
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899784643
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899785351
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899787983
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899789042
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504899793102
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899794218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899801465
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899807023
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899823001
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899823401
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899824980
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504899831841
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504899833182
